Classe,Número,Link,Url,Relator Atual,Nome Ministro (a),Tipo Decisão,Orgão Julgador,Data Autuação,Indicador de  Processo em Tramitação,Data Baixa,Subgrupo Andamento Comissão,Andamento,Observação Andamento,Ramo Direito Novo,Assuntos,Classificação,Origem:,Relator:,Redator do acórdão:,Relator do último incidente:,REQTE.(S),ADV.(A/S),INTDO.(A/S),PROC.(A/S)(ES)
ADPF,561,ADPF-561,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5615424,MIN. RICARDO LEWANDOWSKI,MINISTRO PRESIDENTE,MONOCRÁTICA,PRESIDÊNCIA,2/1/2019,Não,26/11/2020,Decisão Final,Negado seguimento,"Nego seguimento à ação, por evidente ilegitimidade ativa da requerente.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ORGANIZAÇÃO POLÍTICO-ADMINISTRATIVA /",Decisões,,,,,,,,
ADPF,561,ADPF-561,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5615424,MIN. RICARDO LEWANDOWSKI,MIN. RICARDO LEWANDOWSKI,COLEGIADA,TRIBUNAL PLENO - SESSÃO VIRTUAL,2/1/2019,Não,26/11/2020,Decisão em recurso interno,Agravo regimental não provido,"Decisão: O Tribunal, por maioria, negou provimento ao agravo regimental, nos termos do voto do Relator, vencido o Ministro Marco Aurélio. Não participou deste julgamento a Ministra Rosa Weber. Plenário, Sessão Virtual de 16.10.2020 a 23.10.2020.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ORGANIZAÇÃO POLÍTICO-ADMINISTRATIVA /",Decisões,,,,,,,,
ADI,6056,ADI-6056,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5615424,MIN. RICARDO LEWANDOWSKI,MINISTRO PRESIDENTE,MONOCRÁTICA,PRESIDÊNCIA,8/1/2019,Sim,,Decisão Liminar,"Adotado rito do Art. 12, da Lei 9.868/99",,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE,Decisões,,,,,,,,
ADPF,562,ADPF-562,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5616164,MIN. RICARDO LEWANDOWSKI,MIN. RICARDO LEWANDOWSKI,COLEGIADA,TRIBUNAL PLENO,14/1/2019,Não,9/8/2019,Decisão em recurso interno,Embargos recebidos como agravo regimental desde logo não provido,"Decisão: O Tribunal, por maioria, converteu os embargos de declaração em agravo regimental, vencido o Ministro Marco Aurélio. Por unanimidade, negou provimento ao recurso, nos termos do voto do Relator, com ressalvas do Ministro Marco Aurélio. Plenário, Sessão Virtual de 24.5.2019 a 30.5.2019.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ORGANIZAÇÃO POLÍTICO-ADMINISTRATIVA /",Decisões,,,,,,,,
ADPF,562,ADPF-562,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5618021,MIN. RICARDO LEWANDOWSKI,MIN. RICARDO LEWANDOWSKI,MONOCRÁTICA,MIN. RICARDO LEWANDOWSKI,14/1/2019,Não,9/8/2019,Decisão Final,Extinto o processo,"""(...) Isso posto, em face da manifesta ilegitimidade ad causam da
requerente, e por faltar-lhe o requisito legal da subsidiariedade, julgo
extinta esta ação de descumprimento de preceito fundamental, sem
resolução de mérito (RISTF, art. 21, § 1º). Prejudicado o pedido liminar.""",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ORGANIZAÇÃO POLÍTICO-ADMINISTRATIVA /",Decisões,,,,,,,,
ADI,6058,ADI-6058,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5618021,MIN. CELSO DE MELLO,MIN. CELSO DE MELLO,MONOCRÁTICA,MIN. CELSO DE MELLO,17/1/2019,Não,11/6/2019,Decisão Final,Extinto o processo,"Brasília, 13 de maio de 2019: ""(...) Sendo assim, e em face das razões expostas, julgo prejudicada
a presente ação direta, por perda superveniente de seu objeto. Arquivem-se estes autos.
Publique-se.""",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ATOS ADMINISTRATIVOS | LICENÇAS | REGI,Decisões,,,,,,,,
ADI,6058,ADI-6058,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5619426,MIN. CELSO DE MELLO,MIN. CELSO DE MELLO,MONOCRÁTICA,MIN. CELSO DE MELLO,17/1/2019,Não,11/6/2019,Decisão Interlocutória,Deferido,"em 08.04.2019: ""Admito, na condição de “amicus curiae”, a Confederação da Agricultura e Pecuária do Brasil – CNA e a Associação Elas Pedem Vista, eis que se acham atendidas, na espécie, as condições que justificam a intervenção de tais entidades neste processo de controle normativo abstrato. Proceda-se, desse modo, às anotações pertinentes.""",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ATOS ADMINISTRATIVOS | LICENÇAS | REGI,Decisões,,,,,,,,
ADI,6058,ADI-6058,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5619426,MIN. CELSO DE MELLO,MIN. CELSO DE MELLO,MONOCRÁTICA,MIN. CELSO DE MELLO,17/1/2019,Não,11/6/2019,Decisão Liminar,"Adotado rito do Art. 12, da Lei 9.868/99","em 08.04.2019: ""Presentes, na espécie, os requisitos autorizadores                           da instauração do procedimento abreviado, a que se refere o art. 12 da                   Lei nº 9.868/99, ouça-se, no prazo de 10 (dez) dias, o órgão de que emanaram os preceitos ora impugnados nesta sede de controle normativo abstrato: o Senhor Presidente da República.

Publique-se.""",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ATOS ADMINISTRATIVOS | LICENÇAS | REGI,Decisões,,,,,,,,
ADI,6059,ADI-6059,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5619426,MIN. ALEXANDRE DE MORAES,MIN. ALEXANDRE DE MORAES,COLEGIADA,TRIBUNAL PLENO - SESSÃO VIRTUAL,18/1/2019,Não,30/10/2019,Decisão Final,Procedente,"Decisão: O Tribunal, por unanimidade, confirmou a medida cautelar e julgou procedente o pedido formulado na ação direta para declarar a inconstitucionalidade do art. 138 da Constituição do Estado de Roraima, com a redação conferida pela Emenda Constitucional nº 48/2016, nos termos do voto do Relator. Plenário, Sessão Virtual de 20.9.2019 a 26.9.2019.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIÇOS | SAÚDE,Decisões,,,,,,,,
ADI,6059,ADI-6059,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5619758,MIN. ALEXANDRE DE MORAES,MIN. ALEXANDRE DE MORAES,MONOCRÁTICA,MIN. ALEXANDRE DE MORAES,18/1/2019,Não,30/10/2019,Decisão Liminar,Liminar deferida,"Em 20.2.2019: ""...CONCEDO A
MEDIDA CAUTELAR pleiteada, ad referendum do Plenário desta
SUPREMA CORTE, para suspender os efeitos do art. 138, parágrafo
único, da Constituição do Estado de Roraima, com a redação da Emenda
Constitucional 48/2016. Comunique-se ao Presidente da Assembleia Legislativa de Roraima
para ciência e cumprimento desta decisão, solicitando-lhes informações,
no prazo máximo de 10 (dez) dias. Após esse prazo, dê-se vista ao
Advogado-Geral da União e ao Procurador-Geral da República,
sucessivamente, no prazo de 5 (cinco) dias, para que cada qual se
manifeste na forma do art. 12 da Lei 9.868/1999.
Nos termos do art. 21, X, do Regimento Interno do Supremo
Tribunal Federal, peço dia para julgamento, pelo Plenário, do referendo
da medida ora concedida.
Publique-se.""",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIÇOS | SAÚDE,Decisões,,,,,,,,
ADI,6060,ADI-6060,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5619758,MIN. MARCO AURÉLIO,MIN. MARCO AURÉLIO,MONOCRÁTICA,MIN. MARCO AURÉLIO,21/1/2019,Sim,,Decisão Liminar,"Adotado rito do Art. 12, da Lei 9.868/99","em 1º.02.2019: ""(...) Aciono o disposto no artigo 12 da Lei nº 9.868/1999. Providenciem as informações, a manifestação da Advocacia-Geral da União e o parecer da Procuradoria-Geral da República.

4. Publiquem.""",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE2 - DIREITO TRIBUTÁRIO | IMPOSTOS",Decisões,,,,,,,,
ADPF,564,ADPF-564,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5620276,MIN. RICARDO LEWANDOWSKI,MIN. RICARDO LEWANDOWSKI,MONOCRÁTICA,MIN. RICARDO LEWANDOWSKI,21/1/2019,Sim,,Decisão Final,Não conhecido(s),"em 12.2.2019 ""(...)            
Isso posto, por faltar-lhe o requisito legal da subsidiariedade, não conheço desta ação (art. 4°, § 1°, da Lei 9.882/1999). Prejudicado o pedido liminar.
        
Publique-se.""",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLÍTICOS | MINISTÉRIO PÚBLICO2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | SISTEMA REMUN",Decisões,,,,,,,,
ADI,6061,ADI-6061,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5620146,MIN. NUNES MARQUES,MIN. CELSO DE MELLO,MONOCRÁTICA,MIN. CELSO DE MELLO,25/1/2019,Sim,,Decisão Interlocutória,Deferido,"""Admito, na condição de “amicus curiae”, a Associação
dos Defensores Públicos do Estado do Ceará – ADPEC, eis que se acham
atendidas, na espécie, as condições que justificam a intervenção de tal
entidade neste processo de controle normativo abstrato. Proceda-se, desse
modo, às anotações pertinentes.
Em consequência da admissão da ADPEC como “amicus curiae”,
assino-lhe o prazo de 15 (quinze) dias, para que produza, nestes autos, as
respectivas razões.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ORÇAMENTO",Decisões,,,,,,,,
