Classe,Número,Link Processo,link,REQTE.(S),ADV.(A/S),INTDO.(A/S),PROC.(A/S)(ES),Decisões,Data Andamento,Meio Processo,Indicador de  Processo em Tramitação,Relator Atual,Subgrupo Andamento Comissão,Ramo Direito Novo,Assuntos,Legislação,REQTE.(S)
ADC,9,ADC-9,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=1948617,,,,,,11/6/2001,Físico,Não,MIN. NÉRI DA SILVEIRA,Prevenção Relator,ENERGIA ELÉTRICA,1 - ENERGIA ELÉTRICA | PROGRAMA EMERGENCIAL DE REDUÇÃO DO CONSUMO | MP 2.152/O1 - ARTS 14 A 18,,
ADC,10,ADC-10,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=2221383,,,,,,20/5/2004,Físico,Não,MIN. AYRES BRITTO,Normal,DIREITO CIVIL,1 - DIREITO CIVIL | COISAS | ENFITEUSE,,
ADC,11,ADC-11,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=2338671,,,,,,28/11/2005,Eletrônico,Sim,MIN. GILMAR MENDES,Prevenção Relator,DIREITO PROCESSUAL CIVIL E DO TRABALHO,1 - DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAÇÃO / CUMPRIMENTO / EXECUÇÃO DE SENTENÇA | EFEITO SU,"1 - Lei Federal nº 9.494,  de 1997, Art. 1B2 - Medida Provisória nº 2.180,  de 2001, Art. 4º",
ADC,11,ADC-11,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=2338671,,,,,,24/4/2010,Eletrônico,Sim,MIN. GILMAR MENDES,Substituição,DIREITO PROCESSUAL CIVIL E DO TRABALHO,1 - DIREITO PROCESSUAL CIVIL E DO TRABALHO | LIQUIDAÇÃO / CUMPRIMENTO / EXECUÇÃO DE SENTENÇA | EFEITO SU,"1 - Lei Federal nº 9.494,  de 1997, Art. 1B2 - Medida Provisória nº 2.180,  de 2001, Art. 4º",
ADC,12,ADC-12,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=2358461,,,,,,2/2/2006,Físico,Não,MIN. AYRES BRITTO,Prevenção Relator,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"1 - DIREITO PROCESSUAL CIVIL E DO TRABALHO | ÓRGÃOS JUDICIÁRIOS E AUXILIARES DA JUSTIÇA2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | AGENTES POLÍTICOS | MAGISTRATURA | AFA","1 - Resolução nº 7,  de 2005 - CONSELHO NACIONAL DE JUSTIÇA - CNJ",
ADC,13,ADC-13,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=2383568,,,,,,25/5/2006,Físico,Não,MIN. JOAQUIM BARBOSA,Normal,DIREITO TRIBUTÁRIO,"1 - DIREITO TRIBUTÁRIO | IMPOSTOS | IPI/ IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS2 - DIREITO TRIBUTÁRIO | CRÉDITO TRIBUTÁRIO | CRÉDITO PRÊMIO","1 - Resolução nº 71,  de 2005 - SENADO FEDERAL",
ADC,14,ADC-14,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=2415705,,,,,,20/9/2006,Eletrônico,Sim,MIN. ROSA WEBER,Exclusão Ministro,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PÚBLICO / EDITAL,"1 - Lei Federal nº 8.935,  de 1994, Art. 16",
ADC,14,ADC-14,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=2415705,,,,,,12/9/2008,Eletrônico,Sim,MIN. ROSA WEBER,Substituição,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PÚBLICO / EDITAL,"1 - Lei Federal nº 8.935,  de 1994, Art. 16",
ADC,14,ADC-14,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=2415705,,,,,,19/12/2011,Eletrônico,Sim,MIN. ROSA WEBER,Substituição,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONCURSO PÚBLICO / EDITAL,"1 - Lei Federal nº 8.935,  de 1994, Art. 16",
ADC,15,ADC-15,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=2492293,,,,,,16/2/2007,Físico,Não,MIN. CÁRMEN LÚCIA,Normal,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIDOR PÚBLICO CIVIL | REGIME ESTATU,,
ADC,16,ADC-16,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=2497093,,,,,,7/3/2007,Físico,Não,MIN. CEZAR PELUSO,Normal,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"0 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTRATOS ADMINISTRATIVOS | EXECUÇÃO C1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | RESPONSABILIDADE DA ADMINISTRAÇÃO","0 - Lei Federal nº 8.666,  de 1993, Art. 71, § 1º",
ADC,16,ADC-16,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=2497093,,,,,,24/4/2010,Físico,Não,MIN. CEZAR PELUSO,Substituição,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"0 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTRATOS ADMINISTRATIVOS | EXECUÇÃO C1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | RESPONSABILIDADE DA ADMINISTRAÇÃO","0 - Lei Federal nº 8.666,  de 1993, Art. 71, § 1º",
ADC,17,ADC-17,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=2564133,,,,,,5/10/2007,Eletrônico,Sim,MIN. EDSON FACHIN,Normal,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIÇOS | ENSINO FUNDAMENTAL E MÉDIO,"1 - Lei Federal nº 9.394,  de 1996, Art. 24, inciso II2 - Lei Federal nº 9.394,  de 1996, Art. 313 - Lei Federal nº 9.394,  de 1996, Art. 32 - CAPUT",
ADC,17,ADC-17,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=2564133,,,,,,16/6/2015,Eletrônico,Sim,MIN. EDSON FACHIN,Substituição,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | SERVIÇOS | ENSINO FUNDAMENTAL E MÉDIO,"1 - Lei Federal nº 9.394,  de 1996, Art. 24, inciso II2 - Lei Federal nº 9.394,  de 1996, Art. 313 - Lei Federal nº 9.394,  de 1996, Art. 32 - CAPUT",
ADC,18,ADC-18,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=2565325,,,,,,10/10/2007,Físico,Não,MIN. CELSO DE MELLO,Normal,DIREITO TRIBUTÁRIO,"1 - DIREITO TRIBUTÁRIO | CONTRIBUIÇÕES | CONTRIBUIÇÕES SOCIAIS | COFINS2 - DIREITO TRIBUTÁRIO | CONTRIBUIÇÕES | CONTRIBUIÇÕES SOCIAIS | PIS3 - DIREITO TRIBUTÁRIO | CRÉDITO TRIBUTÁRIO | BASE DE CÁLCULO4 - DIREITO TRIBUTÁRIO | IMPOSTOS | ICMS/ IMPOSTO SOBRE CIRCULAÇÃO DE MERCADORIAS","1 - Lei Federal nº 9.718,  de 1998, Art. 3º, § 2º, inciso I",
ADC,18,ADC-18,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=2565325,,,,,,18/9/2009,Físico,Não,MIN. CELSO DE MELLO,Redistribuído,DIREITO TRIBUTÁRIO,"1 - DIREITO TRIBUTÁRIO | CONTRIBUIÇÕES | CONTRIBUIÇÕES SOCIAIS | COFINS2 - DIREITO TRIBUTÁRIO | CONTRIBUIÇÕES | CONTRIBUIÇÕES SOCIAIS | PIS3 - DIREITO TRIBUTÁRIO | CRÉDITO TRIBUTÁRIO | BASE DE CÁLCULO4 - DIREITO TRIBUTÁRIO | IMPOSTOS | ICMS/ IMPOSTO SOBRE CIRCULAÇÃO DE MERCADORIAS","1 - Lei Federal nº 9.718,  de 1998, Art. 3º, § 2º, inciso I",
